Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,RHO GTPase Cycle R-HSA-9012999,59/441,1.3414884528905169e-06,0.0004678440979455677,0,0,2.089897932987405,28.259037196516804,DOCK4;RTKN;ABCD3;DOCK3;PLXND1;WIPF1;DOCK9;SOWAHC;ITSN1;CLTC;FAM13A;DOCK7;FNBP1L;SYDE2;ARHGAP42;BAIAP2L1;OPHN1;SH3PXD2A;LBR;PLEKHG2;STARD8;ARAP3;RHOF;ARFGAP3;CKAP4;ARHGAP45;TIAM1;CDC42EP5;PEAK1;CDC42EP3;SPATA13;ARHGEF3;ARHGEF4;PHIP;RHOU;SOS1;STAM2;RHOQ;ARHGEF6;BLTP3B;PKN3;SRC;ARHGEF25;RASAL2;IQGAP2;LMAN1;FGD5;SH3BP1;MYO6;NHS;SEMA4F;DEF6;ARHGAP23;FMNL3;TMEM59;FAM135A;FMNL2;PKN2;FERMT2
Reactome_2022,Ca2+ Pathway R-HSA-4086398,16/61,3.1862617229591595e-06,0.0007687652382643849,0,0,4.748420126389889,60.09914953303224,FZD2;WNT5A;PRKCA;ITPR3;AXIN2;GNAO1;TNRC6C;NRAS;PPP3R1;AGO3;GNG4;AGO4;AGO1;PLCB1;MAP3K7;TNRC6B
Reactome_2022,Collagen Formation R-HSA-1474290,20/90,3.3065171538253115e-06,0.0007687652382643849,0,0,3.821557503867973,48.226584941587134,COL17A1;COL18A1;COLGALT2;COL26A1;COL27A1;LAMB3;LAMC2;PCOLCE;CTSV;P3H3;COL4A2;LOX;COL5A1;CTSL;COL4A1;COL6A2;PXDN;COL5A2;TLL2;ITGA6
Reactome_2022,Vesicle-mediated Transport R-HSA-5653656,75/637,7.123371455890508e-06,0.0014195861687096,0,0,1.8094279292537396,21.445574003683024,APP;SCARB1;DENND5B;ITSN1;CLTC;GCC2;MIA3;FNBP1L;GOLGA4;MAN1A2;KIF13B;TMED2;KIF21B;RAB8B;ACTR2;SCARA5;COG5;RALGAPA2;COG3;WNT5A;AP3B1;ARFGAP3;ANK1;DYNC1LI1;VAMP7;RAB31;RALGAPB;RAB36;COL4A2;BIN1;COL4A1;RIN3;DENND6A;VAMP4;SEC22B;RIN2;STAM2;RHOQ;SEC23A;PRKAA2;SRC;PLA2G6;EGFR;NAPG;HSP90B1;LMAN1;KLC3;GJC2;HSPH1;FCHO1;KIF3B;MYO6;MAN1C1;RAB6B;SEC24A;AMBP;SYT1;SORT1;GALNT1;MYO5A;RAB27B;ARPC5;SYNJ2;PUM1;GJB2;SNX18;DAB2;SEC23IP;AKR1B10;SYNJ1;KIF26A;GJB5;YIPF6;SEC24D;ACBD3
Reactome_2022,CDC42 GTPase Cycle R-HSA-9013148,26/149,1.418221128899834e-05,0.002473023093519,0,0,2.8315086341581326,31.60960922735988,WIPF1;ARHGEF25;DOCK9;ITSN1;DOCK7;FNBP1L;IQGAP2;ARHGAP42;OPHN1;SH3PXD2A;LBR;PLEKHG2;STARD8;ARAP3;ARFGAP3;DEF6;ARHGAP45;FMNL3;TIAM1;FMNL2;CDC42EP5;SPATA13;CDC42EP3;ARHGEF4;PKN2;ARHGEF6
Reactome_2022,Post-transcriptional Silencing By Small RNAs R-HSA-426496,5/7,3.165033886646422e-05,0.0049058025243019,0,0,33.20178571428571,343.99578989148586,TNRC6C;AGO3;AGO4;AGO1;TNRC6B
Reactome_2022,Transport Of Small Molecules R-HSA-382551,78/706,4.477669616700911e-05,0.0061301080269075,0,0,1.6816654586995234,16.839899792436622,SLC44A5;SCARB1;SLC44A4;ABCD3;ATP8A1;TUSC3;CLTC;SLC7A11;ABCA12;PCSK6;AQP3;SLC2A6;SLC22A15;NIPAL2;LIPG;SLC16A3;ABCD1;SLC39A4;SLC30A7;ABCC3;ABCC4;SLC30A3;MMGT1;AQP12A;ATP11C;PRKCA;SLC6A11;ATP11A;ANO5;SLC9A4;SLC25A18;AZGP1;ASPH;SOAT1;TFR2;SLC9A7;PSME4;SGK1;CES3;ABCG1;SLC45A3;SLC35D1;SLC41A2;LPL;FURIN;ADCY1;SLC5A3;ADCY7;ADCY5;ERLEC1;CYB5R4;ANKH;PRKAR2B;GNG4;CLCA2;LRRC8D;APOD;LRRC8B;SLC38A3;RAB11FIP2;ABCA1;SLC12A3;SLC35A1;MCOLN3;SLC31A1;ATP2B4;CYBRD1;ATP2B3;ERLIN2;EIF2S2;SLC8B1;SLC2A9;SLC4A8;NCEH1;OSTM1;SLCO3A1;TRPV4;ATP13A5
Reactome_2022,RAC1 GTPase Cycle R-HSA-9013149,28/178,4.8337769387801335e-05,0.0061301080269075,0,0,2.500411522633745,24.847332742733983,DOCK4;DOCK3;WIPF1;ARHGEF25;DOCK9;FAM13A;DOCK7;IQGAP2;SYDE2;ARHGAP42;FGD5;BAIAP2L1;OPHN1;SH3BP1;NHS;LBR;PLEKHG2;ARAP3;DEF6;ARHGAP45;ARHGAP23;TIAM1;SPATA13;ARHGEF4;PKN2;SOS1;FERMT2;ARHGEF6
Reactome_2022,Diseases Of Glycosylation R-HSA-3781865,24/143,5.732265969527925e-05,0.0064209135749973,0,0,2.698227444489744,26.35308707823352,GALNT12;SPON2;EGFL7;THSD7B;ALG6;GALNT3;HEXB;SDC3;GFPT1;B3GLCT;ALG13;MUC5B;MUC5AC;PAPSS2;C1GALT1C1;MUC1;MUC2;ADAMTSL5;ADAMTS17;CSPG5;GPC2;GPC4;GNE;ADAMTS7
Reactome_2022,Membrane Trafficking R-HSA-199991,68/599,5.9836470591373054e-05,0.0064209135749973,0,0,1.7302023953900785,16.824306779321628,APP;DENND5B;ITSN1;CLTC;GCC2;MIA3;FNBP1L;GOLGA4;MAN1A2;KIF13B;TMED2;KIF21B;RAB8B;ACTR2;COG5;RALGAPA2;COG3;WNT5A;AP3B1;ARFGAP3;ANK1;DYNC1LI1;VAMP7;RAB31;RALGAPB;RAB36;BIN1;RIN3;DENND6A;VAMP4;SEC22B;RIN2;STAM2;RHOQ;SEC23A;PRKAA2;SRC;PLA2G6;EGFR;NAPG;LMAN1;KLC3;GJC2;FCHO1;KIF3B;MYO6;MAN1C1;RAB6B;SEC24A;SYT1;SORT1;GALNT1;MYO5A;RAB27B;ARPC5;SYNJ2;PUM1;GJB2;SNX18;DAB2;SEC23IP;AKR1B10;SYNJ1;KIF26A;GJB5;YIPF6;SEC24D;ACBD3
