priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative
530,3,Tier 3 — Partial reversal,2,BRD-K15262564,mupirocin,0.000000,-73.870240,-75.707620,3,2,0,-49.859287,-73.870240,-75.707620,-90.000000,530,False,False,True,False,True,False
531,3,Tier 3 — Partial reversal,2,BRD-A69636825,diltiazem,0.387597,-85.207310,-71.527115,3,2,0,-52.115609,-71.527115,-85.207310,-90.000000,531,False,False,True,False,True,False
532,3,Tier 3 — Partial reversal,2,BRD-K07996107,harpagoside,0.000000,-73.277850,-69.959010,3,2,0,-47.745620,-69.959010,-73.277850,-90.000000,532,False,False,True,False,True,False
533,3,Tier 3 — Partial reversal,2,BRD-K41160163,fenobam,0.000000,-69.893530,-72.971214,3,2,0,-47.621581,-69.893530,-72.971214,-90.000000,533,False,False,True,False,True,False
534,3,Tier 3 — Partial reversal,2,BRD-K49519092,immethridine,0.422833,-81.919910,-69.512420,3,2,0,-50.336499,-69.512420,-81.919910,-90.000000,534,False,False,True,False,True,False
535,3,Tier 3 — Partial reversal,2,BRD-A17065207,brefeldin-a,1.726568,-69.441020,-74.413345,3,2,0,-47.375932,-69.441020,-74.413345,-90.000000,535,False,False,True,False,True,False
536,3,Tier 3 — Partial reversal,2,BRD-K46862739,metyrapone,0.000000,-68.876465,-77.824560,3,2,0,-48.900342,-68.876465,-77.824560,-90.000000,536,False,False,True,False,True,False
537,3,Tier 3 — Partial reversal,2,BRD-K44779798,miglitol,0.000000,-68.497970,-83.879380,3,2,0,-50.792450,-68.497970,-83.879380,-90.000000,537,False,False,True,False,True,False
538,3,Tier 3 — Partial reversal,2,BRD-K05926469,lenalidomide,0.000000,-78.980730,-68.324840,3,2,0,-49.101857,-68.324840,-78.980730,-90.000000,538,False,False,True,False,True,False
539,3,Tier 3 — Partial reversal,2,BRD-K01779529,fluoropyruvate,0.000000,-82.979910,-67.920090,3,2,0,-50.300000,-67.920090,-82.979910,-90.000000,539,False,False,True,False,True,False
540,3,Tier 3 — Partial reversal,2,BRD-K11905747,spectinomycin,0.000000,-67.432150,-82.526740,3,2,0,-49.986297,-67.432150,-82.526740,-90.000000,540,False,False,True,False,True,False
541,3,Tier 3 — Partial reversal,2,BRD-K74765201,tomelukast,2.713178,-68.076040,-67.017690,3,2,0,-44.126851,-67.017690,-68.076040,-90.000000,541,False,False,True,False,True,False
542,3,Tier 3 — Partial reversal,2,BRD-M64432851,sunitinib,0.000000,-70.369620,-66.351640,3,2,0,-45.573753,-66.351640,-70.369620,-90.000000,542,False,False,True,False,True,False
543,3,Tier 3 — Partial reversal,2,BRD-K51485625,ritonavir,0.000000,-65.310050,-72.674880,3,2,0,-45.994977,-65.310050,-72.674880,-90.000000,543,False,False,True,False,True,False
544,3,Tier 3 — Partial reversal,2,BRD-K82846253,repaglinide,0.000000,-71.472010,-64.032800,3,2,0,-45.168270,-64.032800,-71.472010,-90.000000,544,False,False,True,False,True,False
545,3,Tier 3 — Partial reversal,2,BRD-K97764662,PD-173074,0.033184,-63.726395,-63.587700,3,2,0,-42.426970,-63.587700,-63.726395,-90.000000,545,False,False,True,False,True,False
546,3,Tier 3 — Partial reversal,2,BRD-K70401845,erlotinib,0.000000,-63.330680,-67.658800,3,2,0,-43.663160,-63.330680,-67.658800,-90.000000,546,False,False,True,False,True,False
547,3,Tier 3 — Partial reversal,2,BRD-K53561341,aurora-a-inhibitor-i,0.000000,-73.910484,-62.767788,3,2,0,-45.559424,-62.767788,-73.910484,-90.000000,547,False,False,True,False,True,False
548,3,Tier 3 — Partial reversal,2,BRD-K16618170,BRD-K16618170,0.000000,-65.605080,-62.531555,3,2,0,-42.712212,-62.531555,-65.605080,-90.000000,548,False,False,True,False,True,False
549,3,Tier 3 — Partial reversal,2,BRD-A55815733,phylloquinone,0.000000,-62.428043,-75.406920,3,2,0,-45.944988,-62.428043,-75.406920,-90.000000,549,False,False,True,False,True,False
550,3,Tier 3 — Partial reversal,2,BRD-K68336408,tyrphostin-AG-1478,0.563777,-71.827805,-62.043922,3,2,0,-44.435983,-62.043922,-71.827805,-90.000000,550,False,False,True,False,True,False
551,3,Tier 3 — Partial reversal,2,BRD-A62035778,scopolamine,0.000000,-69.300415,-60.806587,3,2,0,-43.369001,-60.806587,-69.300415,-90.000000,551,False,False,True,False,True,False
552,3,Tier 3 — Partial reversal,2,BRD-M47937986,cefatrizine,2.185104,-60.511826,-62.385710,3,2,0,-40.237477,-60.511826,-62.385710,-90.000000,552,False,False,True,False,True,False
553,3,Tier 3 — Partial reversal,2,BRD-A32836748,leu-enkephalin,0.000000,-60.088078,-66.972930,3,2,0,-42.353669,-60.088078,-66.972930,-90.000000,553,False,False,True,False,True,False
554,3,Tier 3 — Partial reversal,2,BRD-K33453211,levocabastine,0.352361,-73.715904,-60.014840,3,2,0,-44.459461,-60.014840,-73.715904,-90.000000,554,False,False,True,False,True,False
555,3,Tier 3 — Partial reversal,2,BRD-K46068882,eugenitol,0.000000,-70.063540,-59.251840,3,2,0,-43.105127,-59.251840,-70.063540,-90.000000,555,False,False,True,False,True,False
556,3,Tier 3 — Partial reversal,2,BRD-A48809242,IB-MECA,54.510720,-59.216393,-80.354890,3,2,0,-28.353521,-59.216393,-80.354890,-90.000000,556,False,False,True,False,True,False
557,3,Tier 3 — Partial reversal,2,BRD-K38055836,etamivan,0.000000,-60.315060,-59.146484,3,2,0,-39.820515,-59.146484,-60.315060,-90.000000,557,False,False,True,False,True,False
558,3,Tier 3 — Partial reversal,2,BRD-A83855350,naltrexone,2.419986,-58.617447,-76.012950,3,2,0,-44.070137,-58.617447,-76.012950,-90.000000,558,False,False,True,False,True,False
559,3,Tier 3 — Partial reversal,2,BRD-K55430733,WAY-629,0.000000,-78.029150,-58.294052,3,2,0,-45.441067,-58.294052,-78.029150,-90.000000,559,False,False,True,False,True,False
560,3,Tier 3 — Partial reversal,2,BRD-K57179821,crotamiton,0.000000,-66.877205,-58.276802,3,2,0,-41.718002,-58.276802,-66.877205,-90.000000,560,False,False,True,False,True,False
561,3,Tier 3 — Partial reversal,2,BRD-K40782193,QX-222,0.000000,-58.220947,-63.141150,3,2,0,-40.454032,-58.220947,-63.141150,-90.000000,561,False,False,True,False,True,False
562,3,Tier 3 — Partial reversal,2,BRD-K24656285,farnesol,0.000000,-57.937300,-61.998030,3,2,0,-39.978443,-57.937300,-61.998030,-90.000000,562,False,False,True,False,True,False
563,3,Tier 3 — Partial reversal,2,BRD-K80778372,Ro-19-4605,0.000000,-81.982765,-57.593420,3,2,0,-46.525395,-57.593420,-81.982765,-90.000000,563,False,False,True,False,True,False
564,3,Tier 3 — Partial reversal,2,BRD-A61858259,CAY-10415,0.000000,-57.485313,-66.522550,3,2,0,-41.335954,-57.485313,-66.522550,-90.000000,564,False,False,True,False,True,False
565,3,Tier 3 — Partial reversal,2,BRD-K48300629,zonisamide,,-62.196900,-51.886986,2,2,0,-57.041943,-57.041943,-62.196900,-90.000000,565,False,False,True,False,True,False
566,3,Tier 3 — Partial reversal,2,BRD-A32161980,carbetocin,0.000000,-61.636898,-56.606857,3,2,0,-39.414585,-56.606857,-61.636898,-90.000000,566,False,False,True,False,True,False
567,3,Tier 3 — Partial reversal,2,BRD-K35559145,levomepromazine,0.000000,-63.420815,-55.351845,3,2,0,-39.590887,-55.351845,-63.420815,-90.000000,567,False,False,True,False,True,False
568,3,Tier 3 — Partial reversal,2,BRD-K23913458,coumarin,0.000000,-73.187294,-54.808727,3,2,0,-42.665340,-54.808727,-73.187294,-90.000000,568,False,False,True,False,True,False
569,3,Tier 3 — Partial reversal,2,BRD-K83963101,MLN-8054,0.000000,-68.586040,-54.645096,3,2,0,-41.077045,-54.645096,-68.586040,-90.000000,569,False,False,True,False,True,False
570,3,Tier 3 — Partial reversal,2,BRD-K05658747,raltegravir,0.000000,-69.030594,-54.236267,3,2,0,-41.088954,-54.236267,-69.030594,-90.000000,570,False,False,True,False,True,False
571,3,Tier 3 — Partial reversal,2,BRD-K54529596,captopril,0.000000,-59.514263,-54.219760,3,2,0,-37.911341,-54.219760,-59.514263,-90.000000,571,False,False,True,False,True,False
572,3,Tier 3 — Partial reversal,2,BRD-K38003476,clocortolone-pivalate,0.000000,-53.925640,-58.941776,3,2,0,-37.622472,-53.925640,-58.941776,-90.000000,572,False,False,True,False,True,False
