priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative
2134,4,Tier 4 — Weak/single-signature,0,BRD-K99946902,hexylresorcinol,0.000000,6.642098,10.408210,3,0,0,5.683436,6.642098,0.000000,-90.000000,2134,False,False,False,False,False,False
2135,4,Tier 4 — Weak/single-signature,0,BRD-K43736954,cortisone,0.692258,6.654918,35.193195,3,0,0,14.180123,6.654918,0.692258,-90.000000,2135,False,False,False,False,False,False
2136,4,Tier 4 — Weak/single-signature,0,BRD-A64228451,terreic-acid-(-),1.162791,6.701628,9.233387,3,0,0,5.699268,6.701628,1.162791,-90.000000,2136,False,False,False,False,False,False
2137,4,Tier 4 — Weak/single-signature,0,BRD-A71459254,cymarin,2.255109,6.781769,8.069063,3,0,0,5.701980,6.781769,2.255109,-90.000000,2137,False,False,False,False,False,False
2138,4,Tier 4 — Weak/single-signature,0,BRD-K24681473,YM-155,0.000000,46.765990,6.785016,3,0,0,17.850335,6.785016,0.000000,-90.000000,2138,False,False,False,False,False,False
2139,4,Tier 4 — Weak/single-signature,0,BRD-K09537769,NU-7026,0.528541,16.836557,6.800564,3,0,0,8.055221,6.800564,0.528541,-90.000000,2139,False,False,False,False,False,False
2140,4,Tier 4 — Weak/single-signature,0,BRD-A98299281,"hydroxytacrine-maleate-(r,s)",5.352344,57.408836,6.805775,3,0,0,23.188985,6.805775,5.352344,-90.000000,2140,False,False,False,False,False,False
2141,4,Tier 4 — Weak/single-signature,0,BRD-K32318651,acyclovir,1.444679,6.906272,6.847002,3,0,0,5.065984,6.847002,1.444679,-90.000000,2141,False,False,False,False,False,False
2142,4,Tier 4 — Weak/single-signature,0,BRD-K76698671,HNHA,0.000000,41.913692,6.872335,3,0,0,16.262009,6.872335,0.000000,-90.000000,2142,False,False,False,False,False,False
2143,4,Tier 4 — Weak/single-signature,0,BRD-A16700644,isoxsuprine,26.346317,1.092318,6.906272,3,0,0,11.448302,6.906272,1.092318,-90.000000,2143,False,False,False,False,False,False
2144,4,Tier 4 — Weak/single-signature,0,BRD-A01317026,"7,8-dihydro-L-biopterin",0.000000,6.976744,51.080055,3,0,0,19.352266,6.976744,0.000000,-90.000000,2144,False,False,False,False,False,False
2145,4,Tier 4 — Weak/single-signature,0,BRD-A48257147,PHCCC,0.000000,7.011980,35.563725,3,0,0,14.191902,7.011980,0.000000,-90.000000,2145,False,False,False,False,False,False
2146,4,Tier 4 — Weak/single-signature,0,BRD-K67277431,picotamide,7.045482,1.268499,69.012886,3,0,0,25.775622,7.045482,1.268499,-90.000000,2146,False,False,False,False,False,False
2147,4,Tier 4 — Weak/single-signature,0,BRD-K63641886,cefuroxime,0.000000,9.550159,7.082452,3,0,0,5.544204,7.082452,0.000000,-90.000000,2147,False,False,False,False,False,False
2148,4,Tier 4 — Weak/single-signature,0,BRD-A43940795,tetrahydropalmatine,2.691380,11.024061,7.109748,3,0,0,6.941730,7.109748,2.691380,-90.000000,2148,False,False,False,False,False,False
2149,4,Tier 4 — Weak/single-signature,0,BRD-K83794624,pirarubicin,0.000000,13.143059,7.152623,3,0,0,6.765227,7.152623,0.000000,-90.000000,2149,False,False,False,False,False,False
2150,4,Tier 4 — Weak/single-signature,0,BRD-K83637872,SANT-1,0.000000,7.699501,7.266215,3,0,0,4.988572,7.266215,0.000000,-90.000000,2150,False,False,False,False,False,False
2151,4,Tier 4 — Weak/single-signature,0,BRD-A28105619,cucurbitacin-i,0.810430,7.306090,46.053097,3,0,0,18.056539,7.306090,0.810430,-90.000000,2151,False,False,False,False,False,False
2152,4,Tier 4 — Weak/single-signature,0,BRD-A09828896,SKF-81297,0.000000,7.307306,12.476924,3,0,0,6.594743,7.307306,0.000000,-90.000000,2152,False,False,False,False,False,False
2153,4,Tier 4 — Weak/single-signature,0,BRD-K72676686,fluvoxamine,0.000000,30.767740,7.323392,3,0,0,12.697044,7.323392,0.000000,-90.000000,2153,False,False,False,False,False,False
2154,4,Tier 4 — Weak/single-signature,0,BRD-A11990600,lorazepam,0.581763,7.353171,17.351986,3,0,0,8.428973,7.353171,0.581763,-90.000000,2154,False,False,False,False,False,False
2155,4,Tier 4 — Weak/single-signature,0,BRD-K59574735,ubenimex,0.000000,14.808067,7.417504,3,0,0,7.408524,7.417504,0.000000,-90.000000,2155,False,False,False,False,False,False
2156,4,Tier 4 — Weak/single-signature,0,BRD-K60160658,tiagabine,0.000000,7.470049,26.866642,3,0,0,11.445564,7.470049,0.000000,-90.000000,2156,False,False,False,False,False,False
2157,4,Tier 4 — Weak/single-signature,0,BRD-K66353228,zoxazolamine,0.000000,16.430454,7.551014,3,0,0,7.993823,7.551014,0.000000,-90.000000,2157,False,False,False,False,False,False
2158,4,Tier 4 — Weak/single-signature,0,BRD-A64290322,cyclosporin-a,0.000000,7.581617,18.458120,3,0,0,8.679912,7.581617,0.000000,-90.000000,2158,False,False,False,False,False,False
2159,4,Tier 4 — Weak/single-signature,0,BRD-K91699951,benzonatate,0.000000,22.151047,7.596549,3,0,0,9.915865,7.596549,0.000000,-90.000000,2159,False,False,False,False,False,False
2160,4,Tier 4 — Weak/single-signature,0,BRD-K07736136,VX-702,0.000000,7.625562,10.217174,3,0,0,5.947579,7.625562,0.000000,-90.000000,2160,False,False,False,False,False,False
2161,4,Tier 4 — Weak/single-signature,0,BRD-K15592317,CP-466722,0.000000,7.691803,17.729229,3,0,0,8.473677,7.691803,0.000000,-90.000000,2161,False,False,False,False,False,False
2162,4,Tier 4 — Weak/single-signature,0,BRD-K72703948,ZM-447439,0.000000,7.733983,67.938255,3,0,0,25.224079,7.733983,0.000000,-90.000000,2162,False,False,False,False,False,False
2163,4,Tier 4 — Weak/single-signature,0,BRD-K47936004,piribedil,0.022506,7.766501,29.173136,3,0,0,12.320714,7.766501,0.022506,-90.000000,2163,False,False,False,False,False,False
2164,4,Tier 4 — Weak/single-signature,0,BRD-K86161929,cortisone,0.000000,7.820516,35.366722,3,0,0,14.395746,7.820516,0.000000,-90.000000,2164,False,False,False,False,False,False
2165,4,Tier 4 — Weak/single-signature,0,BRD-A69927616,isradipine,0.000000,10.918882,7.822410,3,0,0,6.247097,7.822410,0.000000,-90.000000,2165,False,False,False,False,False,False
2166,4,Tier 4 — Weak/single-signature,0,BRD-A25067867,benzatropine,4.439746,7.827487,20.663950,3,0,0,10.977061,7.827487,4.439746,-90.000000,2166,False,False,False,False,False,False
