pubchem_cid,canonical_smiles,isomeric_smiles,inchikey,molecular_formula
5360696,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC,MKXZASYAUGDDCJ-NJAFHUGGSA-N,C18H25NO
5462501,CC(C(=O)N1CCCC1C(=O)O)NC(CCC2=CC=CC=C2)C(=O)O,C[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N[C@@H](CCC2=CC=CC=C2)C(=O)O,LZFZMUMEGBBDTC-QEJZJMRPSA-N,C18H24N2O5
54678922,CCCCCCCCCCCCCCCC(=O)C1=C(C(OC1=O)CO)O,CCCCCCCCCCCCCCCC(=O)C1=C([C@H](OC1=O)CO)O,KZTSLHQKWLYYAC-GOSISDBHSA-N,C21H36O5
54682505,C1=CC=C(C=C1)OC2=CC=CC(=C2)C3=C(C4=C(C=C(C=C4)Cl)NC3=O)O,C1=CC=C(C=C1)OC2=CC=CC(=C2)C3=C(C4=C(C=C(C=C4)Cl)NC3=O)O,FLVRDMUHUXVRET-UHFFFAOYSA-N,C21H14ClNO3
5534,C1CCN(C1)CC#CCN2CCCC2,C1CCN(C1)CC#CCN2CCCC2,JSUAJTLKVREZHV-UHFFFAOYSA-N,C12H20N2
5587,CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2,CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2,UFLGIAIHIAPJJC-UHFFFAOYSA-N,C16H21N3
5712,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)C4=CC=C(O4)CO,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)C4=CC=C(O4)CO,OQQVFCKUDYMWGV-UHFFFAOYSA-N,C19H16N2O2
5743,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,UREBDLICKHMUKA-CXSFZGCWSA-N,C22H29FO5
5746,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,NWIBSHFKIJFRCO-WUDYKRTCSA-N,C15H18N4O5
5770,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,QEVHRUUCFGRFIF-MDEJGZGSSA-N,C33H40N2O9
5983,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,PIJVFDBKTWXHHD-HIFRSBDPSA-N,C15H21N3O2
6000,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC,CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C6[C@@H](CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC,JFJZZMVDLULRGK-URLMMPGGSA-O,C37H41N2O6+
60198,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C,BFYIZQONLCFLEV-DAELLWKTSA-N,C20H24O2
6197,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,YPHMISFOHDHNIV-FSZOTQKASA-N,C15H23NO4
6337614,C1CC2CN(C(=O)C3=CC=CC(=C23)C1)C4CN5CCC4CC5,C1C[C@@H]2CN(C(=O)C3=CC=CC(=C23)C1)[C@@H]4CN5CCC4CC5,CPZBLNMUGSZIPR-NVXWUHKLSA-N,C19H24N2O
