pubchem_cid,pubchem_assay_rows_n,pubchem_active_assay_n,pubchem_inactive_assay_n,pubchem_inconclusive_assay_n,pubchem_interpretable_assay_n,pubchem_active_fraction,cytotoxicity_keyword_assay_n,cytotoxicity_keyword_active_n,active_target_gene_ids,active_target_accessions
5770,3647,390,1592,536,1982,0.19677093844601412,450,53,10073.0 | 10951.0 | 122706.0 | 143471.0 | 154.0 | 1544.0 | 1551.0 | 1557.0 | 1559.0 | 1565.0 | 1576.0 | 1588.0 | 18671.0 | 196.0 | 19885.0 | 2099.0 | 2101.0 | 214084.0 | 24239.0 | 246310.0 | 24831.0 | 25229.0 | 25549.0 | 2737.0 | 2744.0 | 282471.0 | 28989.0 | 2908.0 | 29994.0 | 3356.0 | 367.0 | 3757.0 | 3837.0 | 43.0 | 4988.0 | 51053.0 | 5243.0 | 54737.0 | 5682.0 | 5683.0 | 5684.0 | 5685.0 | 5686.0 | 5687.0 | 5688.0 | 5689.0 | 5690.0 | 5691.0 | 5692.0 | 5693.0 | 5694.0 | 5695.0 | 5696.0 | 5698.0 | 5699.0 | 590.0 | 5901.0 | 5997907.0 | 6323.0 | 6326.0 | 6328.0 | 6570.0 | 6571.0 | 7066.0 | 7151.0 | 7157.0 | 7253.0 | 79915.0 | 836.0 | 840.0 | 8647.0 | 8856.0,2QQS_A | A5LHX3 | AAH14804 | AAH15051 | AAH38507 | AAH96839 | AAI07878 | AAI13617 | AAI30323 | AAI32976 | AAP35329 | AAV41877 | AAY56401 | ABI96208 | ABQ01243 | ADP91253 | ADZ17378 | ADZ17384 | AEP43755 | AGS09764 | ANW61984 | B45705 | BAA89212 | BAE64671 | CAC88866 | CAQ07474 | EAL24281 | EAW77416 | EAW81333 | EAW99313 | NP_000015 | NP_000756 | NP_000918 | NP_001119587 | NP_001120700 | NP_001135797 | NP_001191727 | NP_001257783 | NP_001273728 | NP_002256 | NP_003045 | NP_005692 | NP_006316 | NP_056979 | NP_059990 | NP_542951 | NP_659558 | O14818 | O95342 | P06276 | P08183 | P0A0J7 | P20618 | P21447 | P22002 | P22303 | P25786 | P25787 | P25788 | P25789 | P28062 | P28065 | P28066 | P28070 | P28072 | P28074 | P35372 | P35498 | P40306 | P49720 | P49721 | P54219 | P60900 | Q01827 | Q05940 | Q12809 | Q27963 | Q8BRU6 | Q8TAA3 | Q99250 | Q99436 | Q9NY46 | XP_717710
5983,2641,233,1731,104,1964,0.11863543788187372,166,0,100033901.0 | 113580815.0 | 11423.0 | 115.0 | 12038.0 | 15558.0 | 1557.0 | 1559.0 | 1565.0 | 2099.0 | 2744.0 | 396388.0 | 43.0 | 4780.0 | 4986.0 | 4988.0 | 540446.0 | 5742.0 | 590.0 | 7157.0 | 83817.0,AAA68151 | AAH38507 | AAI28575 | AAP35567 | AAV41877 | AFN61604 | AGS09764 | ANW61984 | B45705 | CAQ07474 | NP_000046 | NP_006155 | NP_056646 | NP_766400 | O42275 | O60503 | P04058 | P06276 | P10635 | P21836 | P22303 | P23219 | P23795 | P35372 | P36196 | P37136 | P41145 | P81908 | Q03311 | Q8JUX6 | Q9JKC1 | Q9N1N9
6000,206,17,143,2,160,0.10625,3,0,10257.0 | 353174.0 | 3780.0 | 3781.0 | 3782.0 | 5335.0 | 54262.0 | 55244.0,A9XFY4 | AAI36467 | NP_001191016 | NP_002239 | NP_062187 | NP_740721 | NP_851321 | O15439 | Q96FL8
60198,1150,77,830,103,907,0.08489525909592062,200,1,1551.0 | 1557.0 | 1588.0 | 2099.0 | 2101.0 | 24208.0 | 2737.0 | 2908.0 | 3356.0 | 367.0 | 4780.0 | 4986.0 | 5241.0 | 6850.0 | 7468.0 | 8856.0,AAH11558 | AAI07878 | AAI13617 | AAI32976 | AAV41877 | ABB72139 | ADZ17378 | ADZ17384 | AEP43755 | EAW77416 | NP_000756 | NP_006155 | NP_112503 | O96028 | P04150 | P11511 | P15207 | P22443 | P28223 | P41145 | P43405
6197,3372,776,1415,465,2191,0.3541761752624372,659,311,10413.0 | 10499.0 | 1080.0 | 114548.0 | 1385.0 | 14632.0 | 1588.0 | 171071.0 | 1813.0 | 18792.0 | 18793.0 | 18815.0 | 196.0 | 1973.0 | 19885.0 | 2034.0 | 2099.0 | 2101.0 | 2280.0 | 24831.0 | 2494.0 | 2516.0 | 2737.0 | 2740.0 | 2908.0 | 3091.0 | 3106.0 | 3320.0 | 3417.0 | 3456.0 | 3458.0 | 3553.0 | 367.0 | 3707576.0 | 3783750.0 | 4087.0 | 4088.0 | 4193.0 | 4194.0 | 4286.0 | 43740568.0 | 5241.0 | 5243.0 | 5467.0 | 5468.0 | 5621.0 | 580.0 | 5914.0 | 6097.0 | 6311.0 | 64127.0 | 65975.0 | 672.0 | 6850.0 | 7026.0 | 7030.0 | 7151.0 | 7157.0 | 7421.0 | 7468.0 | 79915.0 | 811941.0 | 811999.0 | 814112.0 | 8202.0 | 855751.0 | 856395.0 | 8648.0 | 8767.0 | 956584.0 | 956586.0 | 956592.0,AAB64013 | AAH14804 | AAH14840 | AAH15051 | AAH21195 | AAH50743 | AAH65243 | AAI07878 | AAI13617 | AAI32976 | AAI43360 | AAL68976 | AAV38316 | AAY56401 | ABB72139 | ABH03417 | ACA62796 | ADP91253 | ADZ17337 | ADZ17378 | AEP43755 | ASK51714 | B45705 | BAA01847 | BAA85004 | BAH02282 | BAH02283 | BAH02291 | BAH02301 | CAA84846 | CAA96025 | CAC29064 | CAD53472 | CAG38738 | DAA06693 | DAA10558 | EAL24281 | EAW77416 | EAW82767 | NP_000302 | NP_000483 | NP_000567 | NP_000610 | NP_001119587 | NP_001123617 | NP_001138884 | NP_001257783 | NP_001421 | NP_002383 | NP_002384 | NP_003734 | NP_003812 | NP_003813 | NP_004950 | NP_005339 | NP_006531 | NP_032899 | NP_032903 | NP_035243 | NP_035411 | NP_044650 | NP_066285 | NP_598230 | NP_858045 | O61059 | O75030 | O96028 | O97467 | P01574 | P04637 | P09992 | P0C6X7 | P11166 | P13699 | P38398 | P43405 | P51449 | P60842 | P62942 | Q16665 | Q99700 | Q99728 | Q99814 | XP_001348533 | XP_001348591 | XP_001349989
6337614,153,45,7,0,52,0.8653846153846154,2,0,152.0 | 3269.0 | 3359.0 | 3757.0 | 6532.0 | 9177.0,O95264 | P18825 | P31645 | P35367 | P46098 | Q12809
64143,1707,309,638,54,947,0.3262935586061246,83,2,1128.0 | 1132.0 | 1133.0 | 140.0 | 155348.0 | 1576.0 | 1577.0 | 170848.0 | 18671.0 | 213.0 | 24660.0 | 3417.0 | 4193.0 | 4194.0 | 5243.0 | 6311.0,1OHR_A | 1OHR_B | AAI07878 | CAG38738 | NP_000729 | NP_000732 | NP_002383 | NP_002384 | NP_036257 | NP_058733 | NP_579856 | P02768 | P03367 | P04585 | P05959 | P06241 | P08183 | P08684 | P0DMS8 | P20815 | P21447 | P21452 | P21728 | P23975 | P24740 | P35372 | Q690N0 | Q72874 | Q99700 | Q9YQ12
6419755,596,17,5,1,22,0.7727272727272727,0,0,1195.0 | 3718.0 | 5292.0 | 5578.0 | 5579.0 | 5581.0 | 7297.0 | 9748.0,NP_002639 | NP_055535 | NP_997700 | O60674 | P05771 | P17252 | P23458 | P29597 | P49759 | P52333 | Q02156
6419904,2,0,1,1,1,0.0,0,0,,
6436135,675,41,464,95,505,0.08118811881188119,76,2,100135514.0 | 116160065.0 | 1544.0 | 1551.0 | 1559.0 | 1576.0 | 196.0 | 2100.0 | 4780.0 | 5468.0 | 8856.0,2O23_A | 2O23_B | AAA29795 | AAV31779 | AAY56401 | ABI96208 | ADZ17384 | AGS09764 | BAH02283 | EAL24281 | EAW99313 | NP_000756 | NP_006155 | NP_059488 | Q2NNR5
6436173,443,21,27,13,48,0.4375,16,1,134.0 | 151.0 | 1814.0 | 2030.0 | 4985.0 | 5743.0 | 6850.0 | 7468.0 | 8856.0,O75469 | O96028 | P18089 | P30542 | P35354 | P35462 | P41143 | P43405 | Q99808
65064,2070,291,738,169,1029,0.282798833819242,241,27,10017.0 | 1020.0 | 102800317.0 | 11096.0 | 115004.0 | 116160065.0 | 1195.0 | 1196.0 | 1198.0 | 1432.0 | 1454.0 | 1557.0 | 1559.0 | 1576.0 | 1738.0 | 178296.0 | 1786.0 | 2033.0 | 23621.0 | 2475.0 | 24831.0 | 25255.0 | 2528.0 | 2529.0 | 2534.0 | 2584.0 | 26986.0 | 2737.0 | 2775.0 | 280844.0 | 29230.0 | 2932.0 | 29994.0 | 3091.0 | 3329.0 | 3336.0 | 351.0 | 367.0 | 3725.0 | 3921.0 | 4087.0 | 4088.0 | 4137.0 | 4170.0 | 4233.0 | 4286.0 | 4351.0 | 43740578.0 | 45025515.0 | 4790.0 | 5054.0 | 5223.0 | 5226.0 | 5243.0 | 5423.0 | 5693.0 | 572.0 | 57396.0 | 5893.0 | 597.0 | 599.0 | 5999.0 | 6000.0 | 637.0 | 65220.0 | 6772.0 | 7015.0 | 7263.0 | 7276.0 | 7415.0 | 7458.0 | 76768.0 | 813594.0 | 8444.0 | 8445.0 | 85397.0 | 8550.0 | 855480.0 | 86859893.0 | 8798.0 | 8850.0 | 8851.0 | 9149.0 | 945870.0 | 9507.0 | 9536.0 | 956535.0,1DE9_A | 2KDH_A | 2W2I_A | 2WWY_A | 3OOB_A | 4AWM_A | 4KC3_B | AAA29795 | AAC50351 | AAF64255 | AAG02439 | AAG24257 | AAG43026 | AAH14840 | AAH17351 | AAH18648 | AAH30027 | AAH50743 | AAH66928 | AAI03867 | AAI13617 | AAI14949 | AAI21795 | AAI32976 | AAK85233 | AAV41877 | ABC94590 | ABI96208 | AGS09764 | BAA89212 | CAD52000 | CAQ07474 | EAX06628 | NP_000145 | NP_001074551 | NP_001257783 | NP_001341533 | NP_001420 | NP_002559 | NP_002681 | NP_003875 | NP_003989 | NP_066268 | O14684 | O14746 | O43781 | O75173 | O95544 | P00374 | P02766 | P03230 | P03433 | P03956 | P05067 | P05121 | P06241 | P08183 | P08253 | P08581 | P08865 | P09237 | P0AEK4 | P0DTD1 | P10415 | P10636 | P10809 | P11412 | P15840 | P15917 | P18669 | P26358 | P28074 | P37840 | P42224 | P42336 | P42345 | P43351 | P49674 | P49759 | P49760 | P49761 | P49841 | P50281 | P51993 | P52020 | P52209 | P55957 | P56817 | P61604 | P80025 | Q00535 | Q07817 | Q07820 | Q11130 | Q13627 | Q15078 | Q16539 | Q16548 | Q16762 | Q548M1
6539732,646,21,44,0,65,0.3230769230769231,1,0,2669.0 | 2931.0 | 2932.0,NP_001139628 | NP_005252 | O95067 | P06493 | P14635 | P49840 | P49841 | Q8WWL7
669190,233,1,229,2,230,0.004347826086956522,7,0,24418.0,P31424
68712,1431,60,1163,114,1223,0.04905968928863451,195,3,11188.0 | 148.0 | 150.0 | 151.0 | 152.0 | 1565.0 | 1576.0 | 24831.0 | 2908.0 | 306255.0 | 4128.0 | 4129.0 | 4986.0,ADP91253 | ANW61984 | B45705 | NP_000097 | NP_001020332 | NP_001257783 | NP_059488 | P08913 | P18089 | P18825 | P21397 | P27338 | P35348 | P41145 | Q4G017 | Q9Y2I1
