pert_id,pert_iname,n_signatures,median_connectivity,mean_connectivity,best_connectivity,worst_connectivity,n_negative_signatures
BRD-A81377415,BRD-A81377415,5,-0.3193158,-0.30065024,-0.39210472,-0.22620347,5
BRD-K94270326,ecopipam,5,-0.31922388,-0.299050986,-0.40085536,-0.22002307,5
BRD-A31800922,procyclidine,5,-0.31911927,-0.30390631,-0.3487497,-0.25671667,5
BRD-K35430135,SR-59230A,5,-0.3190261,-0.319558248,-0.34120494,-0.29061237,5
BRD-K50214219,CS-1657,4,-0.319006535,-0.299151765,-0.33792192,-0.22067207,4
BRD-K76810206,nicergoline,6,-0.31900117,-0.3256749,-0.37440532,-0.28443986,6
BRD-K46435977,valaciclovir,6,-0.31899619,-0.304708575,-0.3452121,-0.22296974,6
BRD-K99369265,sirolimus,2,-0.3188504,-0.3188504,-0.39282948,-0.24487132,2
BRD-K63945320,dihydrosamidin,6,-0.318674715,-0.30508737166666666,-0.36138856,-0.20256284,6
BRD-K02227374,milnacipran,2,-0.31845066499999997,-0.31845066499999997,-0.3582216,-0.27867973,2
BRD-K67075780,TGX-115,4,-0.31838239,-0.321880195,-0.40582955,-0.24492645,4
BRD-K74763371,bosentan,6,-0.31810387,-0.31456258666666664,-0.4233677,-0.21852793,6
BRD-K35586044,yohimbine,5,-0.3180671,-0.30821209,-0.40583903,-0.20715964,5
BRD-A41722204,sulmazole,7,-0.31804448,-0.2924974785714286,-0.36645585,-0.1977299,7
BRD-K39746403,erythromycin-estolate,8,-0.31797895,-0.30130053125,-0.33597142,-0.2220187,8
BRD-K24127443,BRD-K24127443,2,-0.31791928,-0.31791928,-0.38468271,-0.25115585,2
BRD-K86595100,chlordiazepoxide,2,-0.31783436,-0.31783436,-0.3551262,-0.28054252,2
BRD-A91866971,SQ-29548,4,-0.31782915,-0.319946905,-0.37114292,-0.2729864,4
BRD-K19416115,sitagliptin,8,-0.31776510999999996,-0.31537073374999997,-0.3808353,-0.2575826,8
BRD-K67261995,adipiodone,10,-0.317636865,-0.32062105500000004,-0.45182723,-0.21646023,10
BRD-K62929068,6-benzylaminopurine,4,-0.31762126,-0.29846833,-0.32689536,-0.23173544,4
BRD-K80778372,Ro-19-4605,9,-0.31760222,-0.28385575888888886,-0.44942117,-0.15858778,9
BRD-K18895904,olanzapine,7,-0.317437,-0.3213173928571429,-0.39927697,-0.26200143,7
BRD-K51223576,AG-99,5,-0.31739613,-0.310214334,-0.33979705,-0.25019243,5
BRD-A48809242,IB-MECA,5,-0.31731993,-0.3223287,-0.41543373,-0.2333601,5
BRD-K10016611,pyridine-2-aldoxime,3,-0.31730902,-0.30379221,-0.32976747,-0.26430014,3
BRD-A11678676,wortmannin,1,-0.31730616,-0.31730616,-0.31730616,-0.31730616,1
BRD-K68558722,deracoxib,7,-0.3172995,-0.3052313742857143,-0.36622554,-0.24169216,7
BRD-A01787639,naftopidil,4,-0.317258185,-0.306253435,-0.37137854,-0.21911883,4
BRD-K48735772,PD-158780,10,-0.31699694,-0.32126467999999997,-0.40379575,-0.21954711,10
BRD-K88551539,CAY-10585,3,-0.31675902,-0.28896763,-0.33608657,-0.2140573,3
BRD-A38913120,BH3I-1,6,-0.31674185499999996,-0.2911746566666667,-0.33081797,-0.22209862,6
BRD-A48261811,argatroban,5,-0.3166724,-0.305622112,-0.3513822,-0.23616157,5
BRD-A81541225,oligomycin-a,11,-0.31664056,-0.32085405181818183,-0.40321866,-0.24646658,11
BRD-K73196317,urapidil,2,-0.316588615,-0.316588615,-0.32213473,-0.3110425,2
BRD-K86191271,cytosporone-b,2,-0.316062945,-0.316062945,-0.32313043,-0.30899546,2
BRD-K54472332,elvitegravir,4,-0.31606195000000004,-0.3040679375,-0.33274975,-0.2513981,4
BRD-K17868609,BRL-54443,2,-0.316026425,-0.316026425,-0.34489515,-0.2871577,2
BRD-A01826957,xanthinol,5,-0.31591067,-0.305514522,-0.35299647,-0.23731065,5
BRD-A24381660,zeranol,5,-0.31590217,-0.294918892,-0.34833857,-0.20031022,5
BRD-A02333338,cyclopamine,2,-0.31589073,-0.31589073,-0.37423873,-0.25754273,2
BRD-K18678457,ZD-7288,5,-0.3156818,-0.299905018,-0.3323321,-0.24294457,5
BRD-K07881437,danusertib,5,-0.3155662,-0.305054604,-0.32557875,-0.26394123,5
BRD-A35912562,pregnenolone-succinate,2,-0.31550783000000004,-0.31550783000000004,-0.33913058,-0.29188508,2
BRD-K72093121,vidarabine,7,-0.31546998,-0.28492924999999997,-0.34289616,-0.2083253,7
BRD-A11135865,nor-binaltorphimine,3,-0.31538403,-0.30612612666666666,-0.38812268,-0.21487167,3
BRD-K76908866,CP-724714,8,-0.31530117999999996,-0.32267710125,-0.39225566,-0.26345557,8
BRD-K92758126,MD-920,4,-0.315236685,-0.303616295,-0.35205692,-0.23193489,4
BRD-K61106942,BRD-K61106942,5,-0.31523257,-0.31065413199999997,-0.38029602,-0.24015614,5
BRD-K72222507,quinapril,6,-0.31522798500000004,-0.3047846616666667,-0.3403911,-0.2519728,6
BRD-K10573841,tunicamycin,4,-0.31521564999999996,-0.3137255475,-0.36894885,-0.25552204,4
BRD-K88741031,"methyl-2,5-dihydroxycinnamate",7,-0.3151838,-0.3015539685714286,-0.37830722,-0.2111823,7
BRD-K55462201,AM-404,6,-0.31515271499999997,-0.29958238666666664,-0.37216604,-0.22789374,6
BRD-K02113016,olaparib,9,-0.31510377,-0.3111756655555556,-0.38498014,-0.22844744,9
BRD-K71003802,hippeastrine,5,-0.31508395,-0.30767641,-0.34906673,-0.2364942,5
BRD-K83972459,JWE-035,5,-0.31502968,-0.286505862,-0.3649521,-0.18373623,5
BRD-K11107424,tiotidine,5,-0.3148346,-0.308252828,-0.34197187,-0.26219016,5
BRD-K81783531,VX-222,3,-0.3148141,-0.32605462,-0.3578382,-0.30551156,3
BRD-K56509348,BMS-182874,6,-0.314803705,-0.32615980333333333,-0.38424933,-0.29021493,6
BRD-A68281735,REV-5901,2,-0.31476331,-0.31476331,-0.36805147,-0.26147515,2
BRD-A54880345,etomidate,10,-0.31474855,-0.303713597,-0.36495405,-0.21152285,10
BRD-A26199074,calmidazolium,4,-0.31465998500000003,-0.3167914025,-0.37115422,-0.26669142,4
BRD-A83695761,chromanol,2,-0.31451428000000003,-0.31451428000000003,-0.39007625,-0.23895231,2
BRD-K93568044,hydrocortisone,3,-0.31446192,-0.3074835066666667,-0.34458733,-0.26340127,3
BRD-A82590476,SDZ-NKT-343,2,-0.31434175,-0.31434175,-0.33606812,-0.29261538,2
BRD-A36471396,biperiden,5,-0.314301,-0.28533000799999997,-0.3259707,-0.22856496,5
BRD-K49671696,ketanserin,3,-0.3142981,-0.3071719333333333,-0.38371602,-0.22350168,3
BRD-K37194137,III606050,2,-0.31425064999999996,-0.31425064999999996,-0.3461394,-0.2823619,2
BRD-A10969569,ambelline,4,-0.314198685,-0.308513975,-0.37326515,-0.23239338,4
BRD-K07888107,depudecin,4,-0.313942145,-0.299857345,-0.33072823,-0.24081686,4
BRD-K39188321,betamethasone,3,-0.31376922,-0.30074066,-0.38654476,-0.201908,3
BRD-K51805276,temefos,3,-0.31363565,-0.29698509,-0.33098906,-0.24633056,3
