signature,job_id,query,pert_id,pert_iname,pert_type,tau
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K85606544,neratinib,trt_cp,57.989246
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K33583600,isoliquiritigenin,trt_cp,79.383575
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K67566344,KU-0063794,trt_cp,-1.3742071
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K37865504,LY-2183240,trt_cp,2.7836504
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K35960502,niclosamide,trt_cp,12.29019
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K48692744,NU-1025,trt_cp,-29.447258
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K08589866,linsitinib,trt_cp,-8.0673485
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K92991072,PAC-1,trt_cp,1.7280622
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K11853856,PJ-34,trt_cp,34.924023
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K16554956,PTB1,trt_cp,-3.8553214
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K02407574,parbendazole,trt_cp,85.33974
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K98548675,parthenolide,trt_cp,92.45113
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K01292756,pimozide,trt_cp,37.2933
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-A45889380,mepacrine,trt_cp,89.00634
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K21672174,Ro-28-1675,trt_cp,-34.97466
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-A97437073,rosiglitazone,trt_cp,-1.4700514
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K03816923,rottlerin,trt_cp,-1.5503876
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K53855319,SRT-1720,trt_cp,12.215756
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-A35588707,teniposide,trt_cp,-17.689169
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K51575138,TPCA-1,trt_cp,-43.639847
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K80527266,triacsin-c,trt_cp,-86.06775
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K74236984,UNC-0321,trt_cp,-78.77869
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K87947369,tozasertib,trt_cp,3.3725805
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K12994359,valdecoxib,trt_cp,-2.0084567
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K71799949,carbamazepine,trt_cp,16.630302
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-A85860691,chaetocin,trt_cp,69.23867
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-A38030642,cyclosporin-a,trt_cp,-38.283497
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K35723520,darinaparsin,trt_cp,-13.327713
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K82135108,elesclomol,trt_cp,-1.0218464
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K14888893,minoxidil,trt_cp,-4.6735516
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-A75517195,thiazolopyrimidine,trt_cp,5.240394
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-A75409952,wortmannin,trt_cp,0.03483856
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-A81541225,oligomycin-a,trt_cp,-93.9972
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K81418486,vorinostat,trt_cp,74.42141
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K61033289,15-delta-prostaglandin-j2,trt_cp,46.41044
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K88560311,rucaparib,trt_cp,-23.761574
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K08703257,3-amino-benzamide,trt_cp,-21.064146
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K09907482,PRL-3-inhibitor-I,trt_cp,-28.334888
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K59184148,SB-216763,trt_cp,-44.115448
