query,pert_id,pert_iname,pert_type,tau
ATLAS_SIG_B_TOP100,BRD-A32161980,carbetocin,trt_cp,-61.636898
ATLAS_SIG_B_TOP100,BRD-A46179541,doxapram,trt_cp,-61.557808
ATLAS_SIG_B_TOP100,BRD-A73680854,PT-630,trt_cp,-61.37095
ATLAS_SIG_B_TOP100,BRD-K55703048,latrepirdine,trt_cp,-61.06723
ATLAS_SIG_B_TOP100,BRD-K37720887,SB-525334,trt_cp,-61.006596
ATLAS_SIG_B_TOP100,BRD-K40530731,hyoscyamine,trt_cp,-60.860374
ATLAS_SIG_B_TOP100,BRD-K77998258,ganglioside,trt_cp,-60.84063
ATLAS_SIG_B_TOP100,BRD-A04668240,CGP-52432,trt_cp,-60.776894
ATLAS_SIG_B_TOP100,BRD-M47937986,cefatrizine,trt_cp,-60.511826
ATLAS_SIG_B_TOP100,BRD-K74117820,nelfinavir,trt_cp,-60.5012
ATLAS_SIG_B_TOP100,BRD-K56596464,QX-314,trt_cp,-60.439064
ATLAS_SIG_B_TOP100,BRD-A69815203,cyclosporin-a,trt_cp,-60.42428
ATLAS_SIG_B_TOP100,BRD-K08109516,L-701324,trt_cp,-60.337547
ATLAS_SIG_B_TOP100,BRD-K38055836,etamivan,trt_cp,-60.31506
ATLAS_SIG_B_TOP100,BRD-K43880410,pregnenolone,trt_cp,-60.304565
ATLAS_SIG_B_TOP100,BRD-K06878038,deferiprone,trt_cp,-60.271294
ATLAS_SIG_B_TOP100,BRD-K23984367,sorafenib,trt_cp,-60.26159
ATLAS_SIG_B_TOP100,BRD-K54330070,SB-202190,trt_cp,-60.137074
ATLAS_SIG_B_TOP100,BRD-A32836748,leu-enkephalin,trt_cp,-60.088078
ATLAS_SIG_B_TOP100,BRD-K59597909,phenothiazine,trt_cp,-59.962017
ATLAS_SIG_B_TOP100,BRD-K05104363,PD-184352,trt_cp,-59.902153
ATLAS_SIG_B_TOP100,BRD-K51557114,BRD-K51557114,trt_cp,-59.698788
ATLAS_SIG_B_TOP100,BRD-A02180903,betamethasone,trt_cp,-59.548683
ATLAS_SIG_B_TOP100,BRD-K72816382,cinalukast,trt_cp,-59.528847
ATLAS_SIG_B_TOP100,BRD-K54529596,captopril,trt_cp,-59.514263
ATLAS_SIG_B_TOP100,BRD-K79511609,BRD-K79511609,trt_cp,-59.437984
ATLAS_SIG_B_TOP100,BRD-A48809242,IB-MECA,trt_cp,-59.216393
ATLAS_SIG_B_TOP100,BRD-A24228527,ofloxacin,trt_cp,-58.85514
ATLAS_SIG_B_TOP100,BRD-A83855350,naltrexone,trt_cp,-58.617447
ATLAS_SIG_B_TOP100,BRD-K77554836,triamcinolone,trt_cp,-58.44328
ATLAS_SIG_B_TOP100,BRD-A28318179,aminomethyltransferase,trt_cp,-58.428802
ATLAS_SIG_B_TOP100,BRD-A83081521,finasteride,trt_cp,-58.4018
ATLAS_SIG_B_TOP100,BRD-K04146668,GW-441756,trt_cp,-58.31234
ATLAS_SIG_B_TOP100,BRD-K40782193,QX-222,trt_cp,-58.220947
ATLAS_SIG_B_TOP100,BRD-K13725475,rhodomyrtoxin,trt_cp,-58.177826
ATLAS_SIG_B_TOP100,BRD-K28137194,loreclezole,trt_cp,-58.1252
ATLAS_SIG_B_TOP100,BRD-K11107424,tiotidine,trt_cp,-58.090363
ATLAS_SIG_B_TOP100,BRD-K19525698,ozagrel,trt_cp,-57.99302
ATLAS_SIG_B_TOP100,BRD-K24656285,farnesol,trt_cp,-57.9373
ATLAS_SIG_B_TOP100,BRD-K89708791,rifaximin,trt_cp,-57.855515
ATLAS_SIG_B_TOP100,BRD-A50737080,CGK-733,trt_cp,-57.767708
ATLAS_SIG_B_TOP100,BRD-A62890442,3-methyl-GABA,trt_cp,-57.62864
ATLAS_SIG_B_TOP100,BRD-A61858259,CAY-10415,trt_cp,-57.485313
ATLAS_SIG_B_TOP100,BRD-K64935403,ebelactone-b,trt_cp,-57.471878
ATLAS_SIG_B_TOP100,BRD-K08924299,palonosetron,trt_cp,-57.43039
ATLAS_SIG_B_TOP100,BRD-A75769826,SDM-25N,trt_cp,-57.412
ATLAS_SIG_B_TOP100,BRD-K50859149,sulfafurazole,trt_cp,-57.222908
ATLAS_SIG_B_TOP100,BRD-K66206289,lobeline,trt_cp,-56.985126
ATLAS_SIG_B_TOP100,BRD-A39747742,estradiol-valerate,trt_cp,-56.931046
ATLAS_SIG_B_TOP100,BRD-K98769987,flumazenil,trt_cp,-56.787212
ATLAS_SIG_B_TOP100,BRD-K66019333,oxantel,trt_cp,-56.57779
ATLAS_SIG_B_TOP100,BRD-K99174507,cardiogenol-c,trt_cp,-56.559334
ATLAS_SIG_B_TOP100,BRD-K73285375,BRD-K73285375,trt_cp,-56.528816
ATLAS_SIG_B_TOP100,BRD-K44094599,tacrolimus,trt_cp,-56.31352
ATLAS_SIG_B_TOP100,BRD-K09991945,GSK-3-inhibitor-II,trt_cp,-56.040085
ATLAS_SIG_B_TOP100,BRD-A97479839,piperidolate,trt_cp,-55.930256
ATLAS_SIG_B_TOP100,BRD-K35629949,SR-27897,trt_cp,-55.846756
ATLAS_SIG_B_TOP100,BRD-A35338386,NECA,trt_cp,-55.805313
ATLAS_SIG_B_TOP100,BRD-K06902185,minoxidil,trt_cp,-55.676
ATLAS_SIG_B_TOP100,BRD-A71009679,KU-C103420N,trt_cp,-55.45828
ATLAS_SIG_B_TOP100,BRD-K47693913,evoxine,trt_cp,-55.430977
ATLAS_SIG_B_TOP100,BRD-K04170657,psoromic-acid,trt_cp,-55.383244
ATLAS_SIG_B_TOP100,BRD-K18905250,ST-91,trt_cp,-55.351
ATLAS_SIG_B_TOP100,BRD-K49657628,tyrphostin-AG-18,trt_cp,-55.3295
ATLAS_SIG_B_TOP100,BRD-K77641333,naphazoline,trt_cp,-55.244522
ATLAS_SIG_B_TOP100,BRD-K62310379,fluticasone-propionate,trt_cp,-55.002747
ATLAS_SIG_B_TOP100,BRD-K08996725,zolantidine,trt_cp,-54.92739
ATLAS_SIG_B_TOP100,BRD-K33211335,dextromethorphan,trt_cp,-54.84937
ATLAS_SIG_B_TOP100,BRD-K80725821,RS-16566,trt_cp,-54.284805
ATLAS_SIG_B_TOP100,BRD-K38003476,clocortolone-pivalate,trt_cp,-53.92564
ATLAS_SIG_B_TOP100,BRD-K01638814,rilmenidine,trt_cp,-53.919815
ATLAS_SIG_B_TOP100,BRD-K01624546,docosatrienoic-acid,trt_cp,-53.90575
ATLAS_SIG_B_TOP100,BRD-K83636919,entacapone,trt_cp,-53.776943
ATLAS_SIG_B_TOP100,BRD-K88741031,"methyl-2,5-dihydroxycinnamate",trt_cp,-53.60879
ATLAS_SIG_B_TOP100,BRD-A51393488,noscapine,trt_cp,-53.56192
ATLAS_SIG_B_TOP100,BRD-K35941380,methysergide,trt_cp,-53.410583
ATLAS_SIG_B_TOP100,BRD-U44700465,HG-5-88-01,trt_cp,-53.11589
ATLAS_SIG_B_TOP100,BRD-K67439147,SIB-1893,trt_cp,-52.95844
ATLAS_SIG_B_TOP100,BRD-K56450366,NSC-94258,trt_cp,-52.920273
ATLAS_SIG_B_TOP100,BRD-K20152659,dihomo-gamma-linolenic-acid,trt_cp,-52.611137
ATLAS_SIG_B_TOP100,BRD-K77690805,BRD-K77690805,trt_cp,-52.50276
ATLAS_SIG_B_TOP100,BRD-K95309561,dienestrol,trt_cp,-52.34147
ATLAS_SIG_B_TOP100,BRD-K39746403,erythromycin-estolate,trt_cp,-52.3122
ATLAS_SIG_B_TOP100,BRD-K77625572,etomoxir,trt_cp,-52.31215
ATLAS_SIG_B_TOP100,BRD-A82238138,budesonide,trt_cp,-51.70184
ATLAS_SIG_B_TOP100,BRD-K28346421,rifapentine,trt_cp,-51.404182
ATLAS_SIG_B_TOP100,BRD-K62609077,scoulerine,trt_cp,-51.31062
ATLAS_SIG_B_TOP100,BRD-K13819402,desoxypeganine,trt_cp,-51.310387
ATLAS_SIG_B_TOP100,BRD-K47659338,EMD-386088,trt_cp,-51.261566
ATLAS_SIG_B_TOP100,BRD-K95885906,quercetagetin,trt_cp,-51.11901
ATLAS_SIG_B_TOP100,BRD-A16665823,butoconazole,trt_cp,-50.78263
ATLAS_SIG_B_TOP100,BRD-K07507905,BRL-37344,trt_cp,-50.6339
ATLAS_SIG_B_TOP100,BRD-A56675431,altizide,trt_cp,-50.562187
ATLAS_SIG_B_TOP100,BRD-K48970916,danazol,trt_cp,-50.152992
ATLAS_SIG_B_TOP100,BRD-K91900765,VX-745,trt_cp,-50.10102
ATLAS_SIG_B_TOP100,BRD-K77171813,proxyfan,trt_cp,-50.090206
ATLAS_SIG_B_TOP100,BRD-K97330509,SRC-kinase-inhibitor-II,trt_cp,-49.818542
ATLAS_SIG_B_TOP100,BRD-K64835161,ML-167,trt_cp,-49.800385
ATLAS_SIG_B_TOP100,BRD-K84266862,BRL-50481,trt_cp,-49.73297
ATLAS_SIG_B_TOP100,BRD-K04833372,GSK-1904529A,trt_cp,-49.071552
ATLAS_SIG_B_TOP100,BRD-K77390737,xanthohumol,trt_cp,-48.7802
ATLAS_SIG_B_TOP100,BRD-K64785675,TG-100115,trt_cp,-48.762486
ATLAS_SIG_B_TOP100,BRD-K36055864,cycloheximide,trt_cp,-48.75512
ATLAS_SIG_B_TOP100,BRD-A82096673,KU-C103428N,trt_cp,-48.50032
ATLAS_SIG_B_TOP100,BRD-A15070535,bucladesine,trt_cp,-48.35386
ATLAS_SIG_B_TOP100,BRD-K94830329,ataluren,trt_cp,-48.34629
ATLAS_SIG_B_TOP100,BRD-K55034111,pefloxacin,trt_cp,-48.287518
ATLAS_SIG_B_TOP100,BRD-K08619838,tremorine,trt_cp,-48.21443
ATLAS_SIG_B_TOP100,BRD-K19533706,tranilast,trt_cp,-48.171482
ATLAS_SIG_B_TOP100,BRD-K84895041,BMY-45778,trt_cp,-47.96483
ATLAS_SIG_B_TOP100,BRD-K25504083,cytochalasin-d,trt_cp,-47.879147
