rank,pert_id,pert_iname,n_signatures,median_connectivity,mean_connectivity,best_connectivity,weakest_connectivity,sd_connectivity,n_cells,cell_lines,doses,times,n_negative_signatures
119,BRD-K56064827,EI-273,3,-0.32379222,-0.31318926333333336,-0.35510457,-0.260671,0.04810137007708445,3,A375;MCF7;VCAP,10 �M,24 h;6 h,3
120,BRD-K04833372,GSK-1904529A,8,-0.323774485,-0.3165477725,-0.40985104,-0.20337656,0.07682863373340024,5,HA1E;HCC515;MCF7;PC3;VCAP,1 �M;10 �M,24 h;6 h,8
121,BRD-K98372770,L-2167,8,-0.32372552,-0.3028476625,-0.37234223,-0.21429873,0.061434592350136964,6,A375;A549;HT29;MCF7;PC3;VCAP,10 �M,24 h;6 h,8
122,BRD-K68756823,FR-180204,6,-0.32353301,-0.29984955333333335,-0.37152988,-0.19735634,0.07228141096874732,4,HCC515;HEPG2;MCF7;PC3,10 �M;100 nM;500 nM,24 h;6 h,6
123,BRD-K34508425,KU-C103898N,4,-0.32291505,-0.3235979325,-0.3357364,-0.31282523,0.009387641886094611,4,A375;A549;HT29;MCF7,10 �M,24 h;6 h,4
124,BRD-K00673382,famotidine,2,-0.32276687,-0.32276687,-0.38810098,-0.25743276,0.09239638444757566,1,MCF7,10 �M,24 h,2
125,BRD-K43236057,polydatin,3,-0.32261276,-0.3275913366666667,-0.3479481,-0.31221315,0.01838032459166682,3,A375;A549;MCF7,10 �M,24 h;6 h,3
126,BRD-A41145729,methoprene-acid,4,-0.32238781,-0.32903578499999997,-0.39268172,-0.2786858,0.048257168450921706,4,HA1E;HCC515;MCF7;VCAP,10 �M,24 h;6 h,4
127,BRD-K12401458,BRD-K12401458,3,-0.32214025,-0.3363588533333333,-0.40477788,-0.28215843,0.06253406183943783,3,MCF7;PC3;VCAP,10 �M,24 h;6 h,3
128,BRD-A37704979,SB-203580,10,-0.322025535,-0.315980095,-0.3784576,-0.24977878,0.04252944846243316,5,A549;HCC515;MCF7;PC3;VCAP,10 �M;100 nM;500 nM,24 h;6 h,10
129,BRD-K25224017,pirenperone,9,-0.321967,-0.32254005444444445,-0.39412746,-0.23354807,0.052324583281273526,7,A549;HA1E;HCC515;HT29;MCF7;PC3;VCAP,10 �M,24 h;6 h,9
130,BRD-K12244279,MEK1-2-inhibitor,7,-0.32193512,-0.31366275000000005,-0.4373687,-0.20835167,0.07380920693842874,6,A375;HA1E;HEPG2;HT29;PC3;VCAP,10 �M,24 h;6 h,7
131,BRD-K64245000,GW-4064,6,-0.321885665,-0.31653806,-0.3942654,-0.2231797,0.05647206619714954,5,HA1E;HCC515;MCF7;PC3;VCAP,10 �M,24 h;6 h,6
132,BRD-K77925998,quipazine,6,-0.321869925,-0.3098158183333333,-0.38238233,-0.19669339,0.06834338907655706,4,HEPG2;HT29;MCF7;PC3,10 �M,24 h;6 h,6
133,BRD-K51730347,diphencyprone,4,-0.321683375,-0.3208457825,-0.3528632,-0.28715318,0.02772187772557786,4,A549;MCF7;PC3;VCAP,10 �M,24 h,4
134,BRD-K26979635,NS-3694,6,-0.32165338,-0.32869266999999996,-0.40648508,-0.27654216,0.04660749357264989,5,A375;A549;HA1E;PC3;VCAP,10 �M,24 h;6 h,6
135,BRD-K59650319,YM-298198,7,-0.32153848,-0.3175100728571429,-0.42254406,-0.23973387,0.06245508743664651,6,A549;HA1E;HCC515;MCF7;PC3;VCAP,10 �M,24 h;6 h,7
136,BRD-K49027941,PSB-1115,6,-0.32132981,-0.30218607666666664,-0.35967815,-0.18759818,0.06466924119920589,6,A375;A549;HA1E;HCC515;HT29;MCF7,10 �M,24 h;6 h,6
137,BRD-A68009927,daunorubicin,7,-0.32122386,-0.3104346742857143,-0.3814028,-0.23803791,0.047751421454345876,2,A549;MCF7,1 nM;10 nM;500 nM,24 h;6 h,7
138,BRD-K26160755,RS-45041-190,5,-0.3212084,-0.313899358,-0.37623787,-0.20013362,0.07206819472101972,5,A549;HCC515;HEPG2;MCF7;PC3,10 �M,24 h;6 h,5
139,BRD-K49865102,PD-0325901,14,-0.32114573999999996,-0.32048198999999994,-0.36991012,-0.2501713,0.03905115514898458,7,A375;A549;HA1E;HCC515;MCF7;PC3;VCAP,10 �M;100 nM;500 nM,24 h;6 h,14
140,BRD-K71512533,SNS-314,2,-0.32106446,-0.32106446,-0.34489587,-0.29723305,0.0337027032324738,2,A375;MCF7,10 �M,6 h,2
141,BRD-A87719232,naproxen,4,-0.3209033,-0.2867887925,-0.33087105,-0.17447752,0.07504919633063074,3,HA1E;PC3;VCAP,10 �M,24 h;6 h,4
142,BRD-K80725821,RS-16566,8,-0.32084939,-0.30767319,-0.4217953,-0.19157761,0.07529576528586678,6,A549;HA1E;HT29;MCF7;PC3;VCAP,10 �M,24 h;6 h,8
143,BRD-K30743633,TCPOBOP,3,-0.32083675,-0.3193803533333333,-0.33967108,-0.29763323,0.021056733521456584,2,A549;VCAP,10 �M,24 h;6 h,3
144,BRD-K09859624,methantheline,13,-0.32073498,-0.3114537661538461,-0.38960728,-0.25661924,0.04007979453480693,8,A375;A549;HA1E;HCC515;HEPG2;MCF7;PC3;VCAP,10 �M,24 h;6 h,13
145,BRD-K63430059,methoxsalen,3,-0.3204035,-0.3174451166666667,-0.3827542,-0.24917765,0.0668373974765313,2,HA1E;VCAP,10 �M,24 h;6 h,3
