dataset_id,sample_n,currently_resistant_n,currently_sensitive_parental_n,currently_ambiguous_n,currently_unresolved_n,resistance_hint_counts,control_hint_counts,ambiguous_short_token_counts,top_metadata_tokens
GEO:GSE244535,14,0,0,0,14,,,,skbr3:49 | cuttag:14 | type:14 | mammary:14 | gland:14 | epithelial:14 | unresolved:14 | none:7 | skbr3_hr:7 | trastuzumab:7 | rep1:6 | rep2:6 | h3k27me3:4 | h3k4me3:4 | h3k27ac:4 | input:2
GEO:GSE119397,13,0,0,0,13,,,,bt474:45 | bt-rh:20 | probe:13 | tissue:13 | no:13 | gene:13 | expression:13 | data:13 | under:13 | standard:13 | conditions:13 | unresolved:13
BIOSTUDIES:E-MTAB-12224,12,0,0,0,12,trastuzumab resistant:6 | resistant:6,,,characteristics:120 | factor:60 | value:60 | organism:48 | phenotype:48 | jimt-1:30 | t-47d:30 | homo:24 | sapiens:24 | part:24 | mammary:24 | gland:24 | disease:24 | ductal:24 | adenocarcinoma:24 | trastuzumab:24 | resistant:24 | luminal:24 | subtype:24 | stimulus:12 | decitabine:12
BIOSTUDIES:E-MTAB-12225,12,0,0,0,12,trastuzumab resistant:6 | resistant:6,,,characteristics:120 | factor:60 | value:60 | organism:48 | phenotype:48 | jimt-1:30 | t-47d:30 | homo:24 | sapiens:24 | part:24 | mammary:24 | gland:24 | disease:24 | ductal:24 | adenocarcinoma:24 | trastuzumab:24 | resistant:24 | luminal:24 | subtype:24 | stimulus:12 | decitabine:12
GEO:GSE286038,8,0,0,0,8,,vehicle:16,,fulvestrant:24 | neratinib:24 | xenograft:16 | four:16 | multiome:8 | pdx:8 | tissue:8 | type:8 | when:8 | tumors:8 | reached:8 | mm3:8 | mice:8 | were:8 | randomized:8 | into:8 | groups:8 | either:8 | vehicle:8 | mg/mouse/week:8 | s:8 | c:8 | mg/kg:8 | p:8 | o:8
GEO:GSE69042,8,0,0,0,8,,,,type:16 | 48h:16 | after:16 | single:16 | trastuzumab:12 | t-dm1:12 | xenograft:8 | tissue:8 | host:8 | strain:8 | info:8 | 8-wk-old:8 | female:8 | nude:8 | mice:8 | bt-474:8 | carcinoma:8 | growing:8 | murine:8 | brain:8 | time:8 | point:8 | tissues:8 | were:8 | collected:8
BIOSTUDIES:E-MTAB-7433,6,0,0,0,6,,,,characteristics:72 | organism:24 | factor:24 | value:24 | bt474:18 | homo:12 | sapiens:12 | part:12 | mammary:12 | gland:12 | type:12 | epithelial:12 | disease:12 | ductal:12 | carcinoma:12 | phenotype:12 | her2:12 | positive:12 | compound:12 | dose:12 | dimethyl:6 | sulfoxide:6 | kdm5-inh1:6
GEO:GSE244533,6,0,0,0,6,,,,skbr3:18 | type:6 | mammary:6 | gland:6 | epithelial:6 | unresolved:6 | none:3 | trastuzumab:3 | skbr3_rep1:1 | skbr3_rep2:1 | skbr3_rep3:1 | skbr3_hr_rep1:1 | skbr3_hr_rep2:1 | skbr3_hr_rep3:1
GEO:GSE245486,8,0,4,0,4,,parental:4 | control:4,,bt474:16 | knockout:8 | were:8 | transduced:8 | lentivirus:8 | selected:8 | puromycin:8 | sensitive_or_parental:4 | zmynd8:4 | unresolved:4 | bt474t_1:1 | bt474t_2:1 | hr6_1:1 | hr6_2:1 | hr6_z8ko1_1:1 | hr6_z8ko1_2:1 | hr6_z8ko2_1:1 | hr6_z8ko2_2:1
GEO:GSE161422,4,0,0,0,4,,,,weekly:16 | pdx:8 | 6mg/kg:8 | tumor:4 | stroma:4 | animal:4 | id:4 | mouse:4 | mice:4 | were:4 | randomized:4 | when:4 | tumors:4 | reached:4 | 5mm:4 | diameter:4 | weeks:4 | paclitaxel:4 | 5mg/kg:4 | lapatinib:4 | 6x/week:4 | 30mg/kg:4 | t-dm1:4 | trastuzumab:4 | pertuzumab:4
GEO:GSE297774,3,0,0,0,3,,,,jimt1:6 | type:3 | mammary:3 | gland:3 | epithelial:3 | name:3 | unresolved:3 | jimt1_rep1:2 | jimt1_rep2:2 | jimt1_rep3:2
GEO:GSE188513,2,0,0,0,2,,,,skbr3:6 | type:4 | her2:2 | positive:2 | unresolved:2 | skbr3_1:1 | atac-j9_s12:1 | skbr3_2:1 | atac-j10_s2:1
SRA:SRR26401907,1,0,0,0,1,,,,gsm7843751:2 | pathology:1 | ut:1 | southwestern:1 | medical:1 | center:1 | unresolved:1
SRA:SRR26401908,1,0,0,0,1,,,,gsm7843750:2 | pathology:1 | ut:1 | southwestern:1 | medical:1 | center:1 | unresolved:1
SRA:SRR26401909,1,0,0,0,1,,,,gsm7843749:2 | pathology:1 | ut:1 | southwestern:1 | medical:1 | center:1 | unresolved:1
SRA:SRR26401910,1,0,0,0,1,,,,gsm7843748:2 | pathology:1 | ut:1 | southwestern:1 | medical:1 | center:1 | unresolved:1
SRA:SRR33650052,1,0,0,0,1,,,,gsm8997275:2 | jsph:1 | unresolved:1
SRA:SRR33650053,1,0,0,0,1,,,,gsm8997274:2 | jsph:1 | unresolved:1
